Position,D1_1,D12_1,N2_D6_1
537,3.38E+00,3.72E+00,1.86E+00
538,3.38E+00,3.72E+00,1.85E+00
539,3.38E+00,3.72E+00,1.85E+00
540,3.37E+00,3.72E+00,1.85E+00
541,3.37E+00,3.72E+00,1.85E+00
542,3.37E+00,3.72E+00,1.85E+00
543,3.37E+00,3.72E+00,1.85E+00
544,3.37E+00,3.72E+00,1.84E+00
545,3.37E+00,3.72E+00,1.84E+00
546,3.37E+00,3.72E+00,1.84E+00
547,3.37E+00,3.72E+00,1.84E+00
548,3.37E+00,3.72E+00,1.84E+00
549,3.37E+00,3.72E+00,1.84E+00
550,3.37E+00,3.72E+00,1.83E+00
551,3.37E+00,3.72E+00,1.83E+00
552,3.37E+00,3.72E+00,1.83E+00
553,3.37E+00,3.72E+00,1.83E+00
554,3.37E+00,3.72E+00,1.82E+00
555,3.37E+00,3.72E+00,1.82E+00
556,3.37E+00,3.72E+00,1.82E+00
557,3.37E+00,3.72E+00,1.82E+00
558,3.36E+00,3.72E+00,1.81E+00
559,3.36E+00,3.72E+00,1.81E+00
560,3.36E+00,3.72E+00,1.81E+00
561,3.36E+00,3.72E+00,1.81E+00
562,3.36E+00,3.72E+00,1.80E+00
563,3.36E+00,3.72E+00,1.80E+00
564,3.36E+00,3.72E+00,1.80E+00
565,3.36E+00,3.72E+00,1.80E+00
566,3.36E+00,3.72E+00,1.79E+00
567,3.36E+00,3.72E+00,1.79E+00
568,3.36E+00,3.72E+00,1.79E+00
569,3.36E+00,3.72E+00,1.78E+00
570,3.36E+00,3.72E+00,1.78E+00
571,3.36E+00,3.72E+00,1.78E+00
572,3.35E+00,3.72E+00,1.78E+00
573,3.35E+00,3.72E+00,1.77E+00
574,3.35E+00,3.72E+00,1.77E+00
575,3.35E+00,3.72E+00,1.77E+00
576,3.35E+00,3.72E+00,1.77E+00
577,3.35E+00,3.71E+00,1.76E+00
578,3.35E+00,3.72E+00,1.76E+00
579,3.35E+00,3.71E+00,1.76E+00
580,3.35E+00,3.71E+00,1.76E+00
581,3.35E+00,3.71E+00,1.75E+00
582,3.35E+00,3.71E+00,1.75E+00
583,3.35E+00,3.71E+00,1.75E+00
584,3.35E+00,3.71E+00,1.74E+00
585,3.34E+00,3.71E+00,1.74E+00
586,3.34E+00,3.71E+00,1.74E+00
587,3.34E+00,3.71E+00,1.74E+00
588,3.34E+00,3.71E+00,1.73E+00
589,3.34E+00,3.71E+00,1.73E+00
590,3.34E+00,3.71E+00,1.73E+00
591,3.34E+00,3.71E+00,1.72E+00
592,3.34E+00,3.71E+00,1.72E+00
593,3.34E+00,3.71E+00,1.72E+00
594,3.34E+00,3.71E+00,1.72E+00
595,3.34E+00,3.71E+00,1.72E+00
596,3.34E+00,3.71E+00,1.71E+00
597,3.34E+00,3.71E+00,1.71E+00
598,3.34E+00,3.71E+00,1.71E+00
599,3.34E+00,3.71E+00,1.71E+00
600,3.34E+00,3.71E+00,1.70E+00
601,3.34E+00,3.71E+00,1.70E+00
602,3.34E+00,3.71E+00,1.70E+00
603,3.33E+00,3.71E+00,1.70E+00
604,3.33E+00,3.71E+00,1.69E+00
