ORF,GFP_R12,rank_GFP,abs,rank_abs
YIL036W,-0.043202,3714,0.043202,3442
YNL270C,-0.043176,3713,0.043176,3443
YBR024W,0.043167,1783,0.043167,3444
YCR060W,0.043148,1784,0.043148,3445
YMR172C-A,0.04314,1785,0.04314,3446
YDR503C,0.043134,1786,0.043134,3447
YFL031W,0.043088,1787,0.043088,3448
YMR318C,0.043072,1788,0.043072,3449
YMR292W,-0.043071,3712,0.043071,3450
YGL053W,0.043066,1789,0.043066,3451
YPL071C,-0.043058,3711,0.043058,3452
YHR123W,-0.042986,3710,0.042986,3453
YER091C-A,-0.042976,3709,0.042976,3454
YLR422W,0.042965,1790,0.042965,3455
YJL178C,0.042964,1791,0.042964,3456
YPL194W,0.04294,1792,0.04294,3457
YOR050C,0.042939,1793,0.042939,3458
YNL254C,-0.042902,3708,0.042902,3459
YMR025W,0.042884,1794,0.042884,3460
YLR108C,0.042871,1795,0.042871,3461
YOR349W,0.042824,1796,0.042824,3462
YNL091W,0.042822,1797,0.042822,3463
YJL152W,0.042766,1798,0.042766,3464
YOR347C,0.042751,1799,0.042751,3465
YOR284W,-0.042726,3707,0.042726,3466
YBR018C,0.042718,1800,0.042718,3467
YLR098C,0.042714,1801,0.042714,3468
YKR058W,0.042686,1802,0.042686,3469
YPL012W,0.042679,1803,0.042679,3470
YHR051W,-0.042666,3706,0.042666,3471
YMR171C,0.04265,1804,0.04265,3472
YAL009W,-0.042646,3705,0.042646,3473
YBR207W,0.0426,1805,0.0426,3474
YHL021C,-0.042569,3704,0.042569,3475
YPL273W,0.042563,1806,0.042563,3476
YPR070W,-0.04255,3703,0.04255,3477
YLR446W,0.042529,1807,0.042529,3478
YGR079W,-0.042501,3702,0.042501,3479
YGR012W,0.042443,1808,0.042443,3480
YLR338W,-0.042431,3701,0.042431,3481
YPL168W,-0.042401,3700,0.042401,3482
YPR033C,-0.042395,3699,0.042395,3483
YMR199W,0.042362,1809,0.042362,3484
YDL156W,0.042331,1810,0.042331,3485
YPR056W,-0.042326,3698,0.042326,3486
YPL092W,0.0423,1811,0.0423,3487
YKL220C,0.042276,1812,0.042276,3488
YDR018C,0.042238,1813,0.042238,3489
YHR045W,-0.042221,3697,0.042221,3490
YJR051W,0.042211,1814,0.042211,3491
YIR024C,-0.042196,3696,0.042196,3492
YMR269W,0.042182,1815,0.042182,3493
YGR199W,0.042163,1816,0.042163,3494
YMR162C,0.042148,1817,0.042148,3495
YHR016C,0.042144,1818,0.042144,3496
YLR036C,0.042133,1819,0.042133,3497
YDR284C,-0.042133,3695,0.042133,3498
YHR003C,0.042047,1820,0.042047,3499
YML048W-A,0.042041,1821,0.042041,3500
YER135C,0.04204,1822,0.04204,3501
YJR085C,-0.042015,3694,0.042015,3502
YNL293W,0.042012,1823,0.042012,3503
YDR026C,0.042009,1824,0.042009,3504
YBR008C,0.041949,1825,0.041949,3505
YFR035C,-0.041888,3692,0.041888,3506
YOR038C,-0.041888,3693,0.041888,3507
YDR169C-A,-0.041873,3691,0.041873,3508
YGL110C,-0.041849,3690,0.041849,3509
YDR530C,-0.041839,3689,0.041839,3510
YIL096C,-0.041804,3688,0.041804,3511
YDR336W,0.04171,1826,0.04171,3512
YLR131C,-0.041692,3687,0.041692,3513
YMR297W,0.041602,1827,0.041602,3514
YDR215C,0.041578,1828,0.041578,3515
YNL227C,-0.041549,3686,0.041549,3516
YMR002W,-0.041524,3685,0.041524,3517
YLR063W,-0.041487,3684,0.041487,3518
YPL167C,-0.04144,3683,0.04144,3519
YPR009W,-0.041438,3682,0.041438,3520
YDR125C,0.041405,1829,0.041405,3521
YLR081W,0.04137,1830,0.04137,3522
YCL011C,-0.04136,3681,0.04136,3523
YER144C,0.041343,1831,0.041343,3524
YKR062W,-0.041321,3680,0.041321,3525
YGR287C,-0.041298,3679,0.041298,3526
YDR359C,-0.041269,3678,0.041269,3527
YNR029C,0.041202,1832,0.041202,3528
YOL056W,0.041197,1833,0.041197,3529
YGL171W,0.04117,1834,0.04117,3530
YIL064W,0.041161,1835,0.041161,3531
YGL005C,0.041157,1836,0.041157,3532
YKL147C,0.041051,1837,0.041051,3533
YJL038C,0.041023,1838,0.041023,3534
YOL057W,0.041003,1839,0.041003,3535
YER044C-A,0.040979,1840,0.040979,3536
YER042W,-0.040979,3677,0.040979,3537
YBR141C,-0.040917,3676,0.040917,3538
YIL145C,-0.040898,3675,0.040898,3539
