AH6.5,WBGene00003231
T07A9.10,WBGene00020298
T07A9.11.1,WBGene00004493
T07A9.7,WBGene00001666
T07A9.8,WBGene00020296
T08A9.12,WBGene00004987
T08A9.13,WBGene00044442
T08A9.2,WBGene00020335
T08B1.6,WBGene00020343
T08E11.8,WBGene00020364
T08G3.8,WBGene00005707
T09A5.8,WBGene00011636
T09B4.1.1,WBGene00020375
T09B4.8,WBGene00020382
T09F3.1,WBGene00011661
T09F3.2,WBGene00011662
T10B5.3a,WBGene00020389
T10C6.10a,WBGene00011691
T10C6.3,WBGene00005934
T10E9.8.1,WBGene00020418
T10E9.9b,WBGene00020419
T10H9.2,WBGene00004740
T11F1.9,WBGene00077759
T11F8.1,WBGene00020433
T11F8.12,WBGene00235273
T12A2.16b,WBGene00001989
T12D8.4,WBGene00011732
T12D8.5a,WBGene00011733
T12D8.6.1,WBGene00011734
T12G3.4.1,WBGene00011739
T13F2.7,WBGene00011747
T14F9.1.1,WBGene00020507
T14G10.2a.1,WBGene00004254
T15B7.16,WBGene00020528
T15H9.6,WBGene00011791
T18H9.1,WBGene00001695
T19B10.7.1,WBGene00002072
T19H12.12,WBGene00044282
T19H12.1a,WBGene00020587
T20F10.2a,WBGene00011864
T20F10.5,WBGene00011866
T20F7.6,WBGene00020633
T20F7.7,WBGene00020634
T20G5.12,WBGene00011873
T20G5.13,WBGene00011874
T20G5.5,WBGene00004255
T20H4.1a,WBGene00003890
T20H4.2,WBGene00020635
T20H9.6,WBGene00020642
T21B10.1,WBGene00011883
T21B10.5a,WBGene00011887
T21B10.6,WBGene00011888
T21C12.1e.1,WBGene00006784
T21C9.3b,WBGene00011891
T21D12.15,WBGene00206487
T21D9.1,WBGene00000737
T21G5.1,WBGene00020659
T21G5.5d,WBGene00006423
T21H3.2b,WBGene00004230
T22D1.2,WBGene00020681
T22D1.3a,WBGene00020682
T22D1.8,WBGene00020686
T22E5.3,WBGene00020691
T22F3.12,WBGene00044705
T22F3.2a,WBGene00020695
T23B12.6,WBGene00020721
T23B12.7,WBGene00001040
T23B3.5,WBGene00020713
T23D8.4.1,WBGene00001226
T23E7.2a,WBGene00020732
T23F2.2b,WBGene00020735
T23F6.5,WBGene00011952
T23G11.10,WBGene00011973
T23G11.2,WBGene00001647
T23G4.4,WBGene00011960
T23G4.5,WBGene00011961
T23G5.5,WBGene00000934
T23G7.4,WBGene00004752
T23G7.5a,WBGene00011967
T24B1.1,WBGene00011975
T24B8.4a,WBGene00011978
T24C2.4,WBGene00011983
T24D1.1c,WBGene00005023
T24G10.2,WBGene00020779
T24H10.5,WBGene00012003
T24H10.7a,WBGene00012005
T24H7.5b,WBGene00020784
T25B9.8,WBGene00012014
T25C12.1a,WBGene00003003
T25C12.4,WBGene00044284
T26A5.2a,WBGene00020819
T26A5.6,WBGene00020822
T26C12.4,WBGene00001548
T27A3.1a.1,WBGene00020838
T27E4.1,WBGene00020861
T27E7.8,WBGene00005285
T27E7.9,WBGene00012093
T27E9.6,WBGene00012096
T27F7.2a,WBGene00020867
T28B4.1c.1,WBGene00020884
T28D6.5f,WBGene00012125
T28D9.10a,WBGene00004916
T28F3.1a,WBGene00012128
W01A11.5.1,WBGene00020911
W01A11.6,WBGene00003385
W01A8.2a,WBGene00012164
W01B11.2.1,WBGene00020914
W01C9.4,WBGene00012177
W01G7.5,WBGene00002275
W02A11.2.1,WBGene00012193
